X,Y,LONGITUDE,LATITUDE,AR_LIVRE,BOUGUER,h
5282319.71749924,6798000.91161917,-51.105,-28.9033,-9.783240762,-66.87026333,516.43
5097505.54995932,6802966.05158921,-53.0004,-28.8859,15.77683214,-41.4663936,520.15
5281343.86819086,6798390.92510636,-51.1151,-28.9,-24.46602318,-68.66767317,401.29
5281353.61855768,6798390.68779238,-51.115,-28.9,-24.48144898,-68.67750397,401.24
5281353.61855768,6798390.68779238,-51.115,-28.9,-24.32230059,-68.50716558,401.14
5415833.51348041,6795118.74425454,-49.73583333,-28.89294444,-60.40194537,-65.82446458,50.88
5407002.74864088,6795360.2030212,-49.8264,-28.8936,-49.91748565,-63.87127804,127.8
5442144.63037612,6794551.11453635,-49.46605833,-28.88926667,-62.68160668,-62.93984485,3.62
5415986.7464073,6795218.19812477,-49.7343,-28.892,-60.72514885,-65.76494535,47.45
5442379.01262794,6794795.08836864,-49.46375278,-28.88699167,-62.1570673,-62.33579734,2.91
5280392.02596486,6798968.92336543,-51.125,-28.895,-39.76912724,-72.55125037,299.25
5280392.02596486,6798968.92336543,-51.125,-28.895,-39.57827423,-72.37158736,299.35
5346106.78642577,6797477.09932606,-50.4511,-28.8924,29.60628046,-62.5790085,829.88
5153904.87129709,6802486.2862679,-52.4222,-28.8847,32.76712375,-40.80228093,665.68
5037435.61221521,6805599.59106547,-53.6163,-28.8653,5.564485286,-35.84436575,379.11
5442710.92416564,6795426.31989382,-49.4606,-28.8812,-62.28751657,-63.72721003,14.18
5459461.7751838,6795309.44867999,-49.28897222,-28.876375,-54.0901872,-54.3436171,3.31
5279260.85427757,6800205.90505949,-51.1369,-28.8841,-22.89878384,-67.59461602,405.74
5239203.04349957,6801325.47332687,-51.5477,-28.8821,10.73640116,-67.45104945,705.26
5413541.64015449,6797261.97281699,-49.7601,-28.8744,-58.26723254,-65.01640715,62.95
5177898.84300269,6803406.35880619,-52.1764,-28.8733,23.90900251,-55.75866017,719.58
5278420.56344138,6800969.67301504,-51.1457,-28.8774,-37.90387678,-70.96193685,301.76
5152027.916201,6804418.15096119,-52.4417,-28.8675,33.5087749,-42.02963131,683.31
5444081.05721889,6797297.28709145,-49.4473,-28.8639,-63.59147232,-65.42461535,17.69
5444378.64728694,6797518.11702498,-49.44433889,-28.86181111,-60.77812756,-62.33706351,15.23
5444441.24590256,6797594.46918767,-49.44372778,-28.86110278,-60.82758534,-62.43238269,15.64
5453180.98089642,6797513.76053027,-49.35418889,-28.85878056,-58.96363554,-59.18193429,3.09
5461223.91780576,6797526.58384924,-49.27182778,-28.85580833,-53.81009108,-54.31366146,5.55
5454651.84140293,6797698.55656932,-49.3392,-28.8566,-57.61305875,-59.06220364,14.06
5335078.15737597,6800777.69761821,-50.5651,-28.8656,-1.805354027,-70.39024657,619.07
5321761.4232792,6801344.27420499,-50.7017,-28.8639,25.99974881,-69.26429922,857.55
5038001.36200116,6808534.89952026,-53.6106,-28.8388,9.335509532,-36.14585359,415.46
5443855.68278444,6798295.47651048,-49.45,-28.855,-60.30671502,-62.70025651,22.71
5443855.68278444,6798295.47651048,-49.45,-28.855,-60.21905772,-62.60812322,22.67
5443855.68278444,6798295.47651048,-49.45,-28.855,-60.31905772,-62.70812322,22.67
5443855.68278444,6798295.47651048,-49.45,-28.855,-60.00991449,-62.38778999,22.57
5448930.19802828,6798227.66282768,-49.39800556,-28.85385,-60.58264707,-62.31483133,16.7
5351974.68086204,6800787.05759816,-50.392,-28.861,40.03786498,-64.56304681,940.8
5443753.84619198,6798497.65901015,-49.45112222,-28.85321667,-60.63532268,-62.53757941,18.33
5280864.87896915,6802774.96226063,-51.1211,-28.8606,4.851749292,-65.83897656,638.08
5411220.51743545,6799522.96195106,-49.7847,-28.8548,-55.93504814,-64.18766872,76.66
5364224.20022779,6800741.33515081,-50.2665,-28.858,49.59727026,-63.06148618,1012.69
5317912.36583392,6801927.98081579,-50.7413,-28.8596,23.7632662,-71.97065485,861.77
5310821.91693713,6802131.60164673,-50.814,-28.8595,10.60353399,-74.96650758,770.97
5238828.58259612,6803984.5614393,-51.5521,-28.8582,12.63787548,-67.91341891,726.44
5382233.55388274,6800371.81462229,-50.0819,-28.8561,61.10543698,-60.83873458,1095.12
5406893.62802489,6799753.63163237,-49.8291,-28.8541,-53.85352745,-64.94503384,102.42
5368945.86523231,6800947.270028,-50.2182,-28.8548,51.7294248,-60.63831278,1009.98
5434792.85080523,6799295.32228141,-49.5432,-28.8491,-63.31770051,-63.92293574,7.03
5422219.74138605,6799660.56671123,-49.6721,-28.85,-62.32582008,-66.43802322,38.93
5456154.14867751,6798818.52185938,-49.32426667,-28.84599722,-55.98534005,-59.09482203,28.87
5388449.56491124,6800576.00204093,-50.0183,-28.8524,49.75841965,-65.02406108,1030.71
5376782.83379032,6800872.63461572,-50.1379,-28.8532,51.87816054,-59.41082178,1000.17
5411754.6929217,6799992.97170436,-49.7794,-28.8504,-56.75843803,-64.75022392,74.31
5442720.00250473,6799239.54465893,-49.462,-28.8469,-62.79234039,-63.48368523,7.54
5460866.63554543,6798787.3134341,-49.276,-28.8446,-56.1713,-56.50562824,4.03
5400723.38853365,6800324.41688974,-49.8925,-28.8509,-49.61687443,-70.97624651,194.78
5416732.02604121,6799926.05260145,-49.7284,-28.8494,-59.306082,-66.20122353,64.15
5450029.08532175,6799102.3476987,-49.3871,-28.8456,-58.84175517,-62.37309055,32.76
5303714.58192369,6802808.60868172,-50.887,-28.8551,6.380171947,-73.24451401,717.87
5292906.91401108,6803087.00913348,-50.9978,-28.8551,14.10720013,-67.63127682,736.78
5428667.9479625,6799757.1254182,-49.6061,-28.847,-62.60109305,-65.01458131,23.42
5464360.17652944,6798988.81848186,-49.24031111,-28.84153333,-50.70118911,-51.0522286,4.19
5346612.77363671,6801992.68824675,-50.4473,-28.8516,19.96520211,-65.14361707,766.66
5328147.882506,6802486.19253253,-50.6366,-28.852,28.63885303,-71.14566092,897.93
5358984.70784289,6801771.27429231,-50.3205,-28.8502,31.39025099,-65.70750002,873.71
5151332.89027492,6807232.37257496,-52.4492,-28.8422,33.20581688,-40.97797761,671.2
5446301.86619033,6799947.07816267,-49.4256,-28.8393,-63.06986365,-65.22355871,20.53
5341091.41194783,6802789.55393264,-50.5041,-28.8459,23.1231759,-70.41381274,842.02
5279562.16580347,6804604.24437468,-51.1349,-28.8444,17.68211737,-65.00613005,745.33
5447010.75995142,6800405.26905287,-49.41852222,-28.83493333,-59.04751184,-63.49281507,41
5299200.93949453,6804158.12440955,-50.9336,-28.844,12.18142147,-70.00214732,740.76
5133048.87993051,6808509.90717266,-52.6367,-28.8327,14.59490034,-51.35618513,597.69
5408703.39203809,6801883.48477312,-49.81133333,-28.83436111,-55.19240082,-65.97011151,99.56
5145368.00449765,6808639.17267244,-52.5105,-28.8302,38.41128564,-42.11695405,727.92
5405237.11191923,6802205.87136464,-49.84694444,-28.83255556,-53.07159698,-66.95113305,127.6
5408598.837313,6802149.5631747,-49.8125,-28.832,-55.07742951,-65.80249149,99.11
5038275.16521998,6811659.55936279,-53.6079,-28.8106,7.117854173,-36.87682282,402.13
5405250.19482668,6802456.06399967,-49.8469,-28.8303,-53.02999214,-66.86583417,127.22
5144770.14122388,6809223.17759894,-52.5167,-28.825,40.07104024,-41.16204811,734.22
5149571.0865816,6809106.82004889,-52.4675,-28.8255,37.29431946,-42.37218049,720.2
5347513.3173293,6804353.23663536,-50.4388,-28.8301,27.1995057,-68.95332864,865.37
5448767.05788926,6801819.92611003,-49.4011,-28.8216,-63.62758696,-65.08932465,14.31
5444893.39963361,6802232.07350757,-49.44091944,-28.81923611,-63.54617247,-64.9720478,14.09
5465708.48391413,6801866.85295018,-49.22768889,-28.81516944,-50.20420096,-51.30435439,10.87
5145404.33577528,6809980.25002861,-52.5103,-28.8181,40.57694614,-40.65598315,734.21
5449543.13731678,6802305.04715663,-49.39334722,-28.81696667,-61.54073127,-63.87406366,22.08
5281016.69740518,6806622.06892676,-51.1205,-28.8259,19.471612,-64.30050825,755.04
5456815.8661123,6802243.79775269,-49.31887222,-28.81496111,-59.37174993,-60.23131362,8.77
5235437.72568394,6808091.91325603,-51.5877,-28.8218,13.98932221,-59.30103009,661.66
5402391.78910958,6804511.39533998,-49.8769,-28.8127,-50.82207788,-69.21855828,168.34
5451418.47773162,6803297.80561436,-49.37454444,-28.80738333,-62.35041032,-63.80958711,14.23
5461321.98360544,6803191.40221906,-49.27313056,-28.80483611,-54.78654052,-58.77683848,36.71
5103179.73251852,6812472.29140487,-52.9431,-28.7997,5.206031562,-37.74661379,392.33
5397879.26760288,6805078.20496606,-49.9233,-28.809,-23.88523126,-75.59649627,466.49
5169158.11316769,6810855.75136865,-52.2671,-28.8073,37.69907744,-41.42205449,715.06
5400895.39509902,6805018.80398692,-49.8924,-28.8086,-50.26633553,-71.41658257,193.1
5468571.51823342,6803315.73317264,-49.19898056,-28.80110556,-47.51702658,-47.95889289,4.99
5395579.48855994,6805234.63901488,-49.9469,-28.8083,23.38599442,-78.05025789,911.08
5335624.38710306,6806835.41383212,-50.5613,-28.8109,18.70832899,-72.15678877,818.21
5145777.14158108,6811682.97629805,-52.5067,-28.8027,37.92603707,-43.11631549,732.49
5452308.38701785,6803961.8218072,-49.3657,-28.8011,-60.54267499,-63.84358619,30.68
5395901.2242641,6805408.23148085,-49.94366667,-28.80663889,22.46846595,-76.9927142,893.41
5397821.11834176,6805376.50459088,-49.924,-28.80633333,47.76703599,-29.87923233,698.28
5121456.34819345,6812472.85897701,-52.7559,-28.7981,15.05082056,-39.86501867,499.13
5399116.31949009,6805546.84112915,-49.9108,-28.8044,-49.15761926,-73.98480652,226.15
5293057.29706632,6808266.24505553,-50.9976,-28.8084,-0.2941461942,-67.49571475,606.92
5395292.54216337,6805699.97463872,-49.95,-28.8042,41.82431282,-87.608109,1161.32
5039251.93437377,6814726.43078587,-53.598,-28.7829,6.733462798,-35.1915781,383.61
5159865.71953145,6811697.08605985,-52.3624,-28.8009,21.16437809,-47.25113869,619.57
5282785.33244794,6808687.5952043,-51.1029,-28.8069,22.99089452,-63.18999946,776.58
5429086.81642095,6805010.63148909,-49.6038,-28.7996,-58.26360917,-62.86812233,43.18
5395233.50125357,6805878.52852463,-49.95066667,-28.80261111,46.31210253,-91.03609006,1232.07
5396776.39562253,6805960.43908461,-49.9349,-28.8014,-1.129736056,-78.72777787,697.98
5298072.87808264,6808504.75179885,-50.9463,-28.8051,-5.86689038,-72.15640022,598.77
5407182.38492645,6805755.51360248,-49.8283,-28.8,-51.79133254,-58.8229655,66.42
5434851.72797897,6805296.26893938,-49.5449,-28.7951,-64.69132837,-66.18044708,15.03
5310444.64090304,6808457.88275186,-50.8196,-28.8026,10.19126161,-76.05220073,776.99
5416915.33934606,6805843.34216976,-49.7287,-28.7961,-56.75173632,-66.28648682,88
5394555.28978841,6806425.06022747,-49.9578,-28.7979,57.81880109,-80.51176976,1240.93
5454109.6431671,6804928.08215168,-49.34765,-28.79177778,-62.36197742,-63.08450909,7.61
5233524.21960607,6810515.58734718,-51.6078,-28.8003,22.13521255,-54.85742601,694.85
5461576.65225326,6804853.46241519,-49.2712,-28.7898,-54.86492915,-60.0466332,47.36
5448389.37823092,6805192.49582745,-49.4063,-28.7914,-64.28704883,-65.99093534,16.52
5407707.26199385,6806237.1606061,-49.8231,-28.7955,-52.95982951,-68.68375593,144.09
